Tahun,NAMOBJ,WADMKK,luas_total_km2,vegetasi_km2,vegetasi_pct,tubuh_air_km2,tubuh_air_pct,lahan_terbangun_km2,lahan_terbangun_pct,lahan_terbuka_km2,lahan_terbuka_pct
2019,Mergangsan,Kota Yogyakarta,2.367042703,0.158254796,6.685760092,0.005162479,0.218098253,1.896439361,80.11851068,0.307186067,12.97763098
2019,Minggir,Sleman,26.89147495,23.39206132,86.98690335,0.412586698,1.53426578,2.61216548,9.713730783,0.474661448,1.765100088
2019,Mlati,Sleman,28.45928107,17.55081534,61.66991814,0.15332954,0.538768141,9.634880007,33.85496627,1.120256184,3.936347447
2019,Moyudan,Sleman,27.50111396,23.44392613,85.2471873,0.371096362,1.349386657,2.836125757,10.31276683,0.849965713,3.090659215
2019,Ngaglik,Sleman,38.37208369,24.61455776,64.14704492,0.106627024,0.277876555,12.64473627,32.95295708,1.006162635,2.622121444
2019,Ngampilan,Kota Yogyakarta,0.812149662,0.020285744,2.49778402,0,0,0.698272364,85.97828662,0.093591553,11.52392936
2019,Ngemplak,Sleman,36.5789438,27.86577875,76.17983422,0.44836147,1.225736512,7.660030754,20.94109331,0.604772829,1.653335952
2019,Pajangan,Bantul,33.28796194,28.88707889,86.77935567,0.30254476,0.908871381,2.688497951,8.076487098,1.409840343,4.235285853
2019,Pakem,Sleman,46.01997161,40.88345508,88.83850565,0.793514942,1.724283857,3.59634052,7.814738675,0.745774817,1.620546017
2019,Pakualaman,Kota Yogyakarta,0.642731472,0.015217031,2.367556495,0,0,0.551915764,85.87034995,0.075598677,11.76209356
2019,Piyungan,Bantul,33.25755314,26.69516405,80.26797384,0.079071838,0.237756029,3.38554958,10.17979154,3.097767669,9.314478596
2019,Pleret,Bantul,24.19801929,18.47763633,76.36011899,0.130072913,0.537535373,3.123675518,12.90880663,2.466634536,10.19353901
2019,Sedayu,Bantul,34.18604421,29.0343979,84.9305574,0.476936089,1.395119267,3.583750216,10.48307957,1.090960004,3.191243763
2019,Sewon,Bantul,27.90038464,17.10741259,61.31604567,0.201200489,0.721138765,9.078307152,32.53828672,1.513464413,5.424528845
2019,Seyegan,Sleman,26.5335286,22.82699146,86.03074172,0.070982239,0.267519031,3.214459315,12.11470726,0.421095587,1.587031992
2019,Sleman,Sleman,31.25154716,23.81562285,76.20622021,0.064641662,0.206843079,6.713376724,21.48174197,0.657905925,2.105194733
2019,Tegalrejo,Kota Yogyakarta,2.970089006,0.373749734,12.58378899,0.00177189,0.059657796,2.295562965,77.28936607,0.299004418,10.06718714
2019,Turi,Sleman,40.46445647,39.12767781,96.69641266,0.050226116,0.124124036,1.197928014,2.960445088,0.087738201,0.216827827
2019,Umbulharjo,Kota Yogyakarta,8.226847278,1.287062494,15.64466254,0.026979774,0.327947915,5.857508736,71.19992067,1.055296274,12.82746888
